code,series,gender,woo_id,display_name,muadil_orijinal,scent_family,top_notes,heart_notes,base_notes,in_stock,web_url,image_url
SPECIAL-LG,gold,kadin,26354,Lira Gourmand Parfüm 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/lira-gourmand-parfum/,https://elegancevipperfume.com/wp-content/uploads/2026/05/lira1.jpg
SPECIAL-EE,gold,kadin,26239,Elegance Euphoria Kadın Parfümü,,fresh,,,,true,https://elegancevipperfume.com/urun/elegance-euphoria-kadin-parfumu/,https://elegancevipperfume.com/wp-content/uploads/2026/04/Adsiz-tasarim-6.jpg
SPECIAL-BP,gold,kadin,25477,Baby Powder Eau De Parfum For Women,,powdery,,,,true,https://elegancevipperfume.com/urun/baby-powder-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2026/03/5-1.jpg
E-052,gold,erkek,23893,Ombré Leather Edp 50 ml,,woody,,,,true,https://elegancevipperfume.com/urun/u-052-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/10/ombre.jpg
U-067,gold,unisex,23891,Baccarat Rouge 540 Edp 50 ml,Baccarat Rouge 540,oriental,,,,true,https://elegancevipperfume.com/urun/u-067-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/10/bacarat.jpg
U-182,gold,unisex,23889,Andromeda Edp 50 ml,,powdery,,,,true,https://elegancevipperfume.com/urun/u-182-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/10/andromeda.jpg
U-117,gold,unisex,23887,Jazz Club Edp 50 ml,,woody,,,,true,https://elegancevipperfume.com/urun/u-117-eau-de-parfum-for-unisex-copy-copy-copy-copy/,https://elegancevipperfume.com/wp-content/uploads/2025/10/replica.jpg
U-043,gold,unisex,23883,Laylati Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/u-043-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/10/laylati.jpg
U-041,gold,unisex,23881,Erba Pura Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/u-041-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/10/erbapura.jpg
U-128,gold,unisex,23879,Black Orchid Edp 50 ml,Black Orchid,oriental,,,,true,https://elegancevipperfume.com/urun/u-128-eau-de-parfum-for-unisex-copy/,https://elegancevipperfume.com/wp-content/uploads/2025/10/black-orchid.jpg
E-106,gold,erkek,23858,Stronger With You Eau De Parfum For Menn E-106,,fresh,,,,true,https://elegancevipperfume.com/urun/e-106-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/GOLD-ERKEK-WEB-SITE-HEPSIBURADA-1200-x-1200-piksel.jpg
SPECIAL-SU,gold,unisex,23852,Suadela Eau De Parfum For Unisex,,fresh,,,,true,https://elegancevipperfume.com/urun/suadela-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/02/GOLD-UNISEX-TRENDYOL-1200-x-1200-piksel-1.png
E-008,gold,erkek,23848,Brud Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-008-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/1.jpg
E-045,gold,erkek,23845,Sculpture Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-045-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/45.jpg
E-023,gold,erkek,23843,L’Eau Par Kenz Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-023-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/23.jpg
E-035,gold,erkek,23841,DKN Men Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-035-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/35.jpg
E-034,gold,erkek,23839,Roma Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-034-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/34.jpg
E-032,gold,erkek,23837,Sport Fever Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-032-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/32.jpg
